id,name,is_kit,created_at,updated_at,deleted_at
125,TOTEM COM TABLET,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
126,RACK,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
127,PATCH PANEL,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
128,ORGANIZADOR DE CABOS,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
129,REGUA DE TOMADAS P/ RACK,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
130,ANTENA DIGITAL,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
131,COMPRESSOR,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
132,PARAFUSADEIRA,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
133,LEITOR DE CD/DVD,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
134,FILTRO DE LINHA,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
135,NAS STORAGE,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
136,BANDEJA P/ RACK,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
137,ROTULADOR,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
138,REPETIDOR WIFI,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
139,FRIGOBAR,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
140,SUPORTE DE MONITOR,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
141,EXTENSAO ELETRICA,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
142,JOGO DE LUZ,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
143,SOPRADOR TERMICO,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
144,CONVERSOR DIGITAL,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
145,KIT DE CONFERENCIA,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
146,PROCESSADOR DE DOCUMENTOS ADF,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
147,SUPORTE DE IMPRESSORA,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
148,CADEIRA DE ESCRITORIO,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
149,FINALIZADOR DE DOCUMENTOS,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
150,GRAVADOR DIGITAL DE VIDEO,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
151,MINI PC,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
152,ALIMENTADOR DE PAPEL,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
153,KIT DE INTERNET,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
154,TERMOMETRO E HIGROMETRO,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
155,ESTUFA AQUECEDORA DE FOLHAS,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
156,TORRE DE CARREGADOR USB,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
157,MESA P/ IMPRESSORA,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
158,TESTADOR E LOCALIZADOR DE CABO DE REDE,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
159,LEITOR DE CARTAO,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
160,SUPORTE DE NOTEBOOK,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
161,TRIPE P/ TV,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
162,MICROONDAS,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
163,BASTAO DE LED,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
164,BANDEJA P/ IMPRESSORA,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
165,THINKSMART HUB,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
166,THINKSTATION,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
167,MODULO INTERATIVO,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
168,SUPORTE DE PROJETOR,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
169,BANDEJA ADICIONAL,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
170,IMPRESSORA CODIGO DE BARRAS,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
171,IMPRESSORA,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
172,BANDEJA PARA IMPRESSORA,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
173,MINI RACK,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
174,GABINETE PARA IMPRESSORAS,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
